"","satisfaction_level","last_performance_rating","number_of_projects","avg_monthly_hours","years_at_company","had_work_accident","has_left_company","promoted_in_last_5_years","Department","salary_level"
"1277",0.38,0.56,2,148,3,0,1,0,"technical","medium"
"1278",0.85,0.84,5,272,6,0,1,0,"technical","medium"
"1279",0.36,0.48,2,148,3,1,1,0,"management","medium"
"1280",0.75,0.88,5,270,5,0,1,0,"IT","high"
"1281",0.81,0.81,4,218,5,1,1,0,"IT","low"
"1282",0.4,0.55,2,150,3,0,1,0,"IT","medium"
"1283",0.83,0.83,5,260,5,0,1,0,"IT","medium"
"1284",0.41,0.52,2,127,3,0,1,0,"IT","medium"
"1285",0.42,0.57,2,134,3,0,1,0,"product_mng","medium"
"1286",0.09,0.83,7,258,4,0,1,0,"product_mng","low"
"1287",0.87,0.81,5,304,5,0,1,0,"product_mng","low"
"1288",0.43,0.56,6,149,4,0,1,0,"product_mng","low"
"1289",0.39,0.51,2,139,3,0,1,0,"IT","low"
"1290",0.1,0.9,6,272,5,0,1,0,"RandD","low"
"1291",0.41,0.52,2,132,3,0,1,0,"RandD","low"
"1292",0.72,1,2,240,2,0,1,0,"RandD","low"
"1293",0.44,0.55,2,137,3,0,1,0,"RandD","low"
"1294",0.38,0.5,2,139,3,0,1,0,"RandD","low"
"1295",0.46,0.52,2,148,3,0,1,0,"RandD","low"
"1296",0.4,0.49,2,149,3,0,1,0,"marketing","low"
"1297",0.45,0.45,2,131,3,0,1,0,"sales","low"
"1298",0.89,0.89,5,262,5,0,1,0,"accounting","low"
"1299",0.1,0.97,7,284,4,0,1,0,"support","low"
"1300",0.46,0.48,2,161,3,0,1,0,"technical","low"
"1301",0.09,0.78,7,290,4,0,1,0,"management","low"
"1302",0.45,0.57,2,149,3,0,1,0,"marketing","low"
"1303",0.89,0.98,4,242,6,0,1,0,"marketing","low"
"1304",0.62,0.77,5,227,4,0,1,0,"marketing","low"
"1305",0.11,0.93,6,276,4,0,1,0,"sales","low"
"1306",0.44,0.5,2,135,3,0,1,0,"sales","low"
"1307",0.09,0.94,6,266,4,0,1,0,"sales","medium"
"1308",0.56,0.75,5,236,2,0,1,0,"sales","medium"
"1309",0.77,0.89,4,270,5,0,1,0,"sales","medium"
"1310",0.39,0.49,2,146,3,0,1,0,"sales","medium"
"1311",0.1,0.92,5,272,4,0,1,0,"sales","medium"
"1312",0.72,0.85,5,246,5,0,1,0,"sales","medium"
"1313",0.4,0.52,2,136,3,0,1,0,"sales","medium"
"1314",0.11,0.81,6,260,4,0,1,0,"sales","medium"
"1315",0.88,1,5,247,5,0,1,0,"sales","medium"
"1316",0.11,0.96,6,267,4,0,1,0,"sales","medium"
"1317",0.4,0.52,2,143,3,0,1,0,"sales","medium"
"1318",0.1,0.86,6,306,4,0,1,0,"sales","high"
"1319",0.62,0.89,3,131,4,0,1,0,"sales","low"
"1320",0.78,0.86,4,249,5,0,1,0,"sales","medium"
"1321",0.37,0.52,2,144,3,0,1,0,"sales","medium"
"1322",0.76,0.82,4,254,5,1,1,0,"sales","medium"
"1323",0.42,0.53,2,131,3,0,1,0,"accounting","medium"
"1324",0.1,0.77,6,272,4,0,1,0,"accounting","low"
"1325",0.42,0.47,2,157,3,0,1,0,"accounting","low"
"1326",0.1,0.96,7,301,4,0,1,0,"hr","low"
"1327",0.1,0.81,6,252,4,0,1,0,"hr","low"
"1328",0.42,0.47,2,130,3,0,1,0,"hr","low"
"1329",0.09,0.86,6,297,4,0,1,0,"hr","low"
"1330",0.1,0.8,6,248,4,0,1,0,"technical","low"
"1331",0.11,0.89,7,257,4,0,1,0,"technical","low"
"1332",0.44,0.53,2,147,3,0,1,0,"technical","low"
"1333",0.87,0.9,3,307,5,0,1,0,"technical","low"
"1334",0.44,0.46,2,154,3,0,1,0,"technical","low"
"1335",0.41,0.56,2,143,3,0,1,0,"technical","low"
"1336",0.51,0.79,4,134,3,0,1,0,"technical","low"
"1337",0.89,0.96,5,221,5,0,1,0,"technical","low"
"1338",0.1,0.96,6,275,4,0,1,0,"technical","low"
"1339",0.9,0.94,5,247,5,0,1,0,"technical","low"
"1340",0.36,0.55,2,131,3,0,1,0,"technical","low"
"1341",0.44,0.54,2,150,3,0,1,0,"support","low"
"1342",0.39,0.57,2,150,3,0,1,0,"support","low"
"1343",0.38,1,5,137,4,0,1,0,"support","low"
"1344",0.73,0.95,4,223,6,0,1,0,"support","low"
"1345",0.1,0.96,6,292,4,0,1,0,"support","medium"
"1346",0.89,0.83,5,130,4,1,1,0,"support","medium"
"1347",0.87,0.85,5,221,6,0,1,0,"support","medium"
"1348",0.84,0.89,4,245,5,1,1,0,"support","medium"
"1349",0.11,0.77,6,274,4,0,1,0,"support","medium"
"1350",0.74,1,5,248,5,0,1,0,"support","medium"
"1351",0.79,0.97,4,243,5,0,1,0,"support","medium"
"1352",0.1,0.92,7,273,4,0,1,0,"technical","medium"
"1353",0.83,0.95,5,221,5,0,1,0,"technical","medium"
"1354",0.1,0.79,6,271,4,0,1,0,"technical","medium"
"1355",0.45,0.5,2,157,3,0,1,0,"management","medium"
"1356",0.29,0.48,2,249,4,0,1,0,"IT","medium"
"1357",0.46,0.46,2,145,3,0,1,0,"IT","high"
"1358",0.11,0.83,6,262,5,0,1,0,"IT","low"
"1359",0.75,0.89,5,272,5,0,1,0,"IT","medium"
"1360",0.4,0.5,2,129,3,0,1,0,"IT","medium"
"1361",0.37,0.46,2,134,3,0,1,0,"product_mng","medium"
"1362",0.41,0.52,2,147,3,0,1,0,"product_mng","medium"
"1363",0.1,0.83,6,293,4,0,1,0,"product_mng","low"
"1364",0.39,0.52,2,129,3,0,1,0,"product_mng","low"
"1365",0.4,0.45,2,140,3,0,1,0,"IT","low"
"1366",0.11,0.89,6,284,4,0,1,0,"RandD","low"
"1367",0.74,0.99,5,263,5,0,1,0,"RandD","low"
"1368",0.42,0.46,2,143,3,0,1,0,"RandD","low"
"1369",0.88,0.88,4,265,5,0,1,0,"RandD","low"
"1370",0.37,0.53,2,147,3,0,1,0,"RandD","low"
"1371",0.78,0.81,4,253,5,0,1,0,"marketing","low"
"1372",0.46,0.5,2,141,3,0,1,0,"sales","low"
"1373",0.74,1,5,222,6,0,1,0,"accounting","low"
"1374",0.11,0.86,6,273,4,1,1,0,"support","low"
"1375",0.8,0.87,5,240,6,0,1,0,"technical","low"
"1376",0.37,0.48,2,154,3,0,1,0,"management","low"
"1377",0.87,0.92,4,253,6,0,1,0,"marketing","low"
"1378",0.9,0.84,5,221,5,0,1,0,"marketing","low"
"1379",0.1,0.88,6,263,4,0,1,0,"marketing","low"
"1380",0.43,0.46,2,145,3,0,1,0,"sales","low"
"1381",0.11,0.91,6,279,4,0,1,0,"sales","low"
"1382",0.4,0.46,2,146,3,0,1,0,"sales","low"
"1383",0.09,0.93,7,270,4,0,1,0,"sales","medium"
"1384",0.4,0.5,2,135,3,0,1,0,"sales","medium"
"1385",0.14,0.7,5,236,3,0,1,0,"sales","medium"
"1386",0.4,0.49,2,151,3,0,1,0,"sales","medium"
"1387",0.11,0.79,6,244,4,1,1,0,"sales","medium"
"1388",0.72,1,4,169,3,0,1,0,"sales","medium"
"1389",0.39,0.57,2,157,3,0,1,0,"sales","medium"
"1390",0.82,0.93,4,246,5,0,1,0,"sales","medium"
"1391",0.41,0.52,2,142,3,0,1,0,"sales","medium"
"1392",0.45,0.51,2,156,3,0,1,0,"sales","medium"
"1393",0.2,0.7,6,281,5,0,1,0,"sales","medium"
"1394",0.43,0.53,2,146,3,0,1,0,"sales","medium"
"1395",0.39,0.55,2,156,3,0,1,0,"sales","high"
"1396",0.11,0.86,6,299,4,1,1,0,"sales","low"
"1397",0.45,0.47,2,136,3,0,1,0,"sales","medium"
"1398",0.11,0.87,6,272,4,0,1,0,"sales","medium"
"1399",0.84,0.86,5,240,5,0,1,0,"accounting","medium"
"1400",0.86,0.96,5,245,6,0,1,0,"accounting","medium"
"1401",0.79,0.93,5,269,5,0,1,0,"accounting","low"
"1402",0.39,0.57,2,130,3,0,1,0,"hr","low"
"1403",0.15,0.62,4,257,3,0,1,0,"hr","low"
"1404",0.81,1,4,241,5,0,1,0,"hr","low"
"1405",0.39,0.53,2,136,3,0,1,0,"hr","low"
"1406",0.92,0.94,4,219,5,0,1,0,"technical","low"
"1407",0.9,0.98,5,271,5,0,1,0,"technical","low"
"1408",0.32,0.6,2,280,4,0,1,0,"technical","low"
"1409",0.46,0.46,2,140,3,0,1,0,"technical","low"
"1410",0.83,0.98,4,254,5,0,1,0,"technical","low"
"1411",0.39,0.47,2,131,3,0,1,0,"technical","low"
"1412",0.2,0.9,6,138,3,0,1,0,"technical","low"
"1413",0.11,0.85,6,295,4,0,1,0,"technical","low"
"1414",0.11,0.96,6,301,5,0,1,0,"technical","low"
"1415",0.1,0.95,7,296,4,0,1,0,"technical","low"
"1416",0.75,0.87,5,246,5,0,1,0,"technical","low"
"1417",0.44,0.57,2,145,3,0,1,0,"support","low"
"1418",0.86,0.93,5,241,5,1,1,0,"support","low"
"1419",0.1,0.82,6,269,4,0,1,0,"support","low"
"1420",0.39,0.49,2,146,3,0,1,0,"support","low"
"1421",0.45,0.48,2,149,3,0,1,0,"support","low"
"1422",0.1,0.94,7,287,4,0,1,0,"support","medium"
"1423",0.36,0.55,2,138,3,0,1,0,"support","medium"
"1424",0.57,0.61,4,158,5,0,1,0,"support","medium"
"1425",0.09,0.87,6,266,4,0,1,0,"support","medium"
"1426",0.87,0.91,4,255,5,0,1,0,"support","medium"
"1427",0.43,0.52,2,156,3,0,1,0,"support","medium"
"1428",0.36,0.5,2,147,3,0,1,0,"technical","medium"
"1429",0.91,0.99,5,265,5,1,1,0,"technical","medium"
"1430",0.41,0.48,2,136,3,0,1,0,"technical","medium"
"1431",0.37,0.52,2,140,3,0,1,0,"management","medium"
"1432",0.43,0.45,2,146,3,0,1,0,"IT","medium"
"1433",0.43,0.57,2,142,3,0,1,0,"IT","medium"
"1434",0.4,0.53,2,155,3,0,1,0,"IT","high"
"1435",0.1,0.89,7,285,4,0,1,0,"IT","low"
"1436",0.76,0.99,4,253,5,1,1,0,"IT","medium"
"1437",0.82,0.93,4,248,5,0,1,0,"product_mng","medium"
"1438",0.11,0.83,7,255,5,0,1,0,"product_mng","medium"
"1439",0.43,0.52,2,154,3,1,1,0,"product_mng","medium"
"1440",0.11,0.88,7,305,4,0,1,0,"product_mng","low"
"1441",0.41,0.48,2,141,3,0,1,0,"IT","low"
"1442",0.73,0.87,5,252,5,0,1,0,"RandD","low"
"1443",0.37,0.57,2,157,3,0,1,0,"RandD","low"
"1444",0.11,0.89,6,250,4,0,1,0,"RandD","low"
"1445",0.46,0.52,2,131,3,0,1,0,"RandD","low"
"1446",0.41,0.5,2,149,3,0,1,0,"RandD","low"
"1447",0.78,0.78,4,260,5,0,1,0,"RandD","low"
"1448",0.78,0.86,5,260,6,0,1,0,"marketing","low"
"1449",0.72,0.86,5,251,5,0,1,0,"sales","low"
"1450",0.63,0.83,6,242,5,0,1,0,"accounting","low"
"1451",0.55,1,6,136,3,0,1,0,"support","low"
"1452",0.45,0.55,2,155,3,0,1,0,"technical","low"
"1453",0.39,0.51,2,155,3,0,1,0,"management","low"
"1454",0.1,0.81,6,248,4,0,1,0,"marketing","low"
"1455",0.4,0.5,2,136,3,0,1,0,"marketing","low"
"1456",0.39,0.54,2,133,3,0,1,0,"marketing","low"
"1457",0.78,0.45,4,128,2,0,1,0,"sales","low"
"1458",0.39,0.54,2,149,3,0,1,0,"sales","low"
"1459",0.46,0.57,2,145,3,0,1,0,"sales","low"
"1460",0.1,0.92,6,279,4,0,1,0,"sales","medium"
"1461",0.45,0.47,2,146,3,0,1,0,"sales","medium"
"1462",0.1,0.83,6,264,4,1,1,0,"sales","medium"
"1463",0.1,0.89,7,272,4,0,1,0,"sales","medium"
"1464",0.78,0.86,5,256,5,0,1,0,"sales","medium"
"1465",0.4,0.65,2,296,5,0,1,0,"sales","medium"
"1466",0.45,0.51,2,155,3,1,1,0,"sales","medium"
"1467",0.39,0.56,2,130,3,0,1,0,"sales","medium"
"1468",0.43,0.48,2,157,3,0,1,0,"sales","medium"
"1469",0.09,0.96,6,245,4,0,1,0,"sales","medium"
"1470",0.79,0.86,5,226,5,0,1,0,"sales","medium"
"1471",0.44,0.47,2,156,3,1,1,0,"sales","medium"
"1472",0.79,0.95,5,228,5,0,1,0,"sales","high"
"1473",0.38,0.46,2,155,3,0,1,0,"sales","low"
"1474",0.36,0.56,2,159,3,0,1,0,"sales","medium"
"1475",0.39,0.57,2,142,3,0,1,0,"accounting","medium"
"1476",0.09,0.93,6,271,4,0,1,0,"accounting","medium"
"1477",0.16,0.65,4,277,5,0,1,0,"accounting","medium"
"1478",0.09,0.77,6,310,4,0,1,0,"hr","low"
"1479",0.11,0.87,6,254,4,0,1,0,"hr","low"
"1480",0.44,0.56,2,142,3,0,1,0,"hr","low"
"1481",0.11,0.88,7,253,4,0,1,0,"hr","low"
"1482",0.11,0.97,6,260,4,0,1,0,"technical","low"
"1483",0.45,0.52,2,147,3,0,1,0,"technical","low"
"1484",0.1,0.96,7,288,4,0,1,0,"technical","low"
"1485",0.4,0.46,2,160,3,0,1,0,"technical","low"
"1486",0.38,0.55,2,130,3,0,1,0,"technical","low"
"1487",0.39,0.56,2,133,3,0,1,0,"technical","low"
"1488",0.38,0.55,2,160,3,0,1,0,"technical","low"
"1489",0.38,0.45,2,151,3,0,1,0,"technical","low"
"1490",0.17,0.75,3,188,4,0,1,0,"technical","low"
"1491",0.79,0.84,5,247,5,0,1,0,"technical","low"
"1492",0.1,0.85,7,259,4,0,1,0,"technical","low"
"1493",0.37,0.48,2,129,3,0,1,0,"support","low"
"1494",0.42,0.49,2,152,3,0,1,0,"support","low"
"1495",0.44,0.48,2,128,3,0,1,0,"support","low"
"1496",0.11,0.83,6,253,4,0,1,0,"support","low"
"1497",0.39,0.48,2,151,3,0,1,0,"support","low"
"1498",0.1,0.83,5,271,5,0,1,0,"support","low"
"1499",0.4,0.46,2,155,3,0,1,0,"support","medium"
"1500",0.86,0.91,5,245,5,0,1,0,"support","medium"
"1501",0.37,0.46,2,157,3,0,1,0,"support","medium"
"1502",0.4,0.51,2,160,3,0,1,0,"support","medium"
"1503",0.43,0.48,2,149,3,0,1,0,"support","medium"
"1504",0.88,0.88,5,248,5,0,1,0,"technical","medium"
"1505",0.44,0.52,2,128,3,0,1,0,"technical","medium"
"1506",0.87,1,4,224,5,0,1,0,"technical","medium"
"1507",0.4,0.46,2,156,3,0,1,0,"management","medium"
"1508",0.45,0.52,2,143,3,0,1,0,"IT","medium"
"1509",0.84,0.93,4,250,5,0,1,0,"IT","medium"
"1510",0.1,0.68,3,179,3,0,1,0,"IT","medium"
"1511",0.72,0.99,5,257,5,0,1,0,"IT","high"
"1512",0.45,0.5,2,145,3,0,1,0,"product_mng","medium"
"1513",0.89,0.98,5,274,5,0,1,0,"product_mng","medium"
"1514",0.4,0.55,2,131,3,0,1,0,"product_mng","medium"
"1515",0.38,0.53,2,136,3,0,1,0,"product_mng","medium"
"1516",0.38,0.47,2,140,3,1,1,0,"IT","low"
"1517",0.1,0.82,7,265,4,0,1,0,"RandD","low"
"1518",0.42,0.48,2,148,3,1,1,0,"RandD","low"
"1519",0.74,0.86,5,262,5,0,1,0,"RandD","low"
"1520",0.1,0.8,6,261,4,0,1,0,"RandD","low"
"1521",0.82,0.9,5,248,5,0,1,0,"RandD","low"
"1522",0.38,0.55,2,131,3,0,1,0,"marketing","low"
"1523",0.41,0.56,2,160,3,0,1,0,"sales","low"
"1524",0.4,0.47,2,152,3,0,1,0,"accounting","low"
"1525",0.83,0.98,4,249,5,0,1,0,"support","low"
"1526",0.36,0.57,2,144,3,0,1,0,"technical","low"
"1527",0.75,0.98,4,245,5,0,1,0,"management","low"
"1528",0.44,0.53,2,146,3,0,1,0,"marketing","low"
"1529",0.1,0.94,6,297,5,0,1,0,"marketing","low"
"1530",0.39,0.52,2,148,3,1,1,0,"marketing","low"
"1531",0.09,0.84,7,260,4,0,1,0,"sales","low"
"1532",0.4,0.57,2,152,3,0,1,0,"sales","low"
"1533",0.41,0.54,2,135,3,0,1,0,"sales","low"
"1534",0.83,0.92,4,235,5,0,1,0,"sales","low"
"1535",0.42,0.47,2,145,3,0,1,0,"sales","low"
"1536",0.61,0.46,5,220,4,0,1,0,"sales","low"
"1537",0.44,0.52,2,128,3,0,1,0,"sales","medium"
"1538",0.77,0.81,5,237,5,0,1,0,"sales","medium"
"1539",0.81,0.95,4,275,5,0,1,0,"sales","medium"
"1540",0.1,0.78,6,310,4,0,1,0,"sales","medium"
"1541",0.73,0.84,5,251,6,0,1,0,"sales","medium"
"1542",0.09,0.83,6,250,4,0,1,0,"sales","medium"
"1543",0.9,0.99,4,259,6,0,1,0,"sales","medium"
"1544",0.88,1,4,259,5,0,1,0,"sales","medium"
"1545",0.09,0.87,7,305,4,0,1,0,"sales","medium"
"1546",0.4,0.56,2,130,3,1,1,0,"sales","medium"
"1547",0.17,0.55,6,250,5,0,1,0,"sales","medium"
"1548",0.82,0.82,5,220,6,0,1,0,"sales","medium"
"1549",0.9,0.83,4,266,5,0,1,0,"sales","high"
"1550",0.83,0.92,4,255,5,0,1,0,"accounting","low"
"1551",0.44,0.5,2,154,3,0,1,0,"accounting","medium"
"1552",0.5,0.85,4,138,3,0,1,0,"accounting","medium"
"1553",0.14,0.61,6,291,5,0,1,0,"hr","medium"
"1554",0.77,0.82,4,217,5,0,1,0,"hr","medium"
"1555",0.09,0.83,6,286,4,0,1,0,"hr","low"
"1556",0.11,0.88,6,290,4,0,1,0,"hr","low"
"1557",0.44,0.57,2,148,3,0,1,0,"technical","low"
"1558",0.43,0.52,2,146,3,0,1,0,"technical","low"
"1559",0.12,0.8,5,136,2,0,1,0,"technical","low"
"1560",0.1,0.86,7,261,5,0,1,0,"technical","low"
"1561",0.1,0.96,6,274,4,0,1,0,"technical","low"
"1562",0.4,0.48,2,132,3,0,1,0,"technical","low"
"1563",0.41,0.47,2,145,3,0,1,0,"technical","low"
"1564",0.37,0.48,2,153,3,0,1,0,"technical","low"
"1565",0.4,0.48,2,139,3,0,1,0,"technical","low"
"1566",0.74,0.96,4,231,5,0,1,0,"technical","low"
"1567",0.39,0.48,2,154,3,0,1,0,"technical","low"
"1568",0.11,0.9,5,307,4,0,1,0,"support","low"
"1569",0.36,0.51,2,129,3,0,1,0,"support","low"
"1570",0.8,0.83,5,275,5,0,1,0,"support","low"
"1571",0.6,0.85,3,250,2,0,1,0,"support","low"
"1572",0.36,0.54,2,158,3,0,1,0,"support","low"
"1573",0.1,0.96,6,310,5,0,1,0,"support","low"
"1574",0.65,0.86,2,181,2,0,1,0,"support","low"
"1575",0.49,0.73,4,244,3,0,1,0,"support","low"
"1576",0.73,0.96,5,256,6,1,1,0,"support","medium"
"1577",0.11,0.8,6,259,5,0,1,0,"support","medium"
"1578",0.73,0.91,4,247,5,0,1,0,"support","medium"
"1579",0.43,0.46,2,129,3,0,1,0,"technical","medium"
"1580",0.73,0.93,5,229,5,0,1,0,"technical","medium"
"1581",0.76,0.85,5,236,6,0,1,0,"technical","medium"
"1582",0.09,0.96,6,281,4,0,1,0,"management","medium"
"1583",0.9,0.81,5,264,5,0,1,0,"IT","medium"
"1584",0.1,0.81,6,308,4,0,1,0,"IT","medium"
"1585",0.43,0.48,2,147,3,0,1,0,"IT","medium"
"1586",0.41,0.55,2,159,3,0,1,0,"IT","medium"
"1587",0.41,0.57,2,154,3,0,1,0,"IT","medium"
"1588",0.1,0.87,6,307,4,0,1,0,"product_mng","high"
"1589",0.4,0.46,2,132,3,0,1,0,"product_mng","low"
"1590",0.4,0.53,2,152,3,0,1,0,"product_mng","medium"
"1591",0.36,0.48,5,310,3,0,1,0,"product_mng","medium"
"1592",0.83,0.95,5,230,5,0,1,0,"IT","medium"
"1593",0.83,0.94,5,273,5,0,1,0,"RandD","medium"
"1594",0.41,0.51,2,144,3,0,1,0,"RandD","low"
"1595",0.11,0.93,7,296,4,0,1,0,"RandD","low"
"1596",0.68,0.62,5,198,5,1,1,0,"RandD","low"
"1597",0.43,0.53,2,157,3,0,1,0,"RandD","low"
"1598",0.44,0.51,2,145,3,0,1,0,"marketing","low"
"1599",0.87,0.94,5,219,5,0,1,0,"marketing","low"
"1600",0.43,0.54,2,153,3,0,1,0,"sales","low"
"1601",0.89,0.48,3,178,5,0,1,0,"accounting","low"
"1602",0.83,0.88,5,239,5,0,1,0,"support","low"
"1603",0.11,0.87,6,278,5,0,1,0,"technical","low"
"1604",0.85,1,6,260,3,1,1,0,"management","low"
"1605",0.89,0.97,4,264,5,0,1,0,"marketing","low"
"1606",0.09,0.92,7,301,4,0,1,0,"marketing","low"
"1607",0.43,0.55,4,134,3,0,1,0,"marketing","low"
"1608",0.42,0.46,2,147,3,0,1,0,"sales","low"
"1609",0.43,0.54,2,130,3,0,1,0,"sales","low"
"1610",0.1,0.93,6,307,4,0,1,0,"sales","low"
"1611",0.76,0.98,4,237,5,0,1,0,"sales","low"
"1612",0.88,0.89,4,254,5,0,1,0,"sales","low"
"1613",0.39,0.48,2,151,3,0,1,0,"sales","low"
"1614",0.45,0.54,2,131,3,0,1,0,"sales","medium"
"1615",0.91,0.95,5,241,5,0,1,0,"sales","medium"
"1616",0.86,0.85,5,267,5,0,1,0,"sales","medium"
"1617",0.39,0.53,2,153,3,0,1,0,"sales","medium"
"1618",0.89,1,4,217,5,0,1,0,"sales","medium"
"1619",0.11,0.86,6,254,4,0,1,0,"sales","medium"
"1620",0.1,0.87,6,265,5,0,1,0,"sales","medium"
"1621",0.38,0.57,2,146,3,0,1,0,"sales","medium"
"1622",0.4,0.54,2,156,3,0,1,0,"sales","medium"
"1623",0.86,0.97,5,269,5,0,1,0,"sales","medium"
"1624",0.1,0.86,6,288,4,0,1,0,"sales","medium"
"1625",0.1,0.85,6,283,4,0,1,0,"sales","medium"
"1626",0.42,0.5,2,128,3,0,1,0,"accounting","high"
"1627",0.36,0.46,2,130,3,0,1,0,"accounting","low"
"1628",0.39,0.48,2,127,3,0,1,0,"accounting","medium"
"1629",0.43,0.47,2,137,3,0,1,0,"hr","medium"
"1630",0.36,0.49,2,133,3,0,1,0,"hr","medium"
"1631",0.09,0.91,6,275,4,0,1,0,"hr","medium"
"1632",0.42,0.55,2,146,3,0,1,0,"hr","low"
"1633",0.42,0.46,2,135,3,0,1,0,"technical","low"
"1634",0.91,0.89,5,217,5,0,1,0,"technical","low"
"1635",0.41,0.56,2,154,3,0,1,0,"technical","low"
"1636",0.11,0.78,6,247,4,0,1,0,"technical","low"
"1637",0.09,0.83,6,295,5,0,1,0,"technical","low"
"1638",0.83,1,5,224,5,0,1,0,"technical","low"
"1639",0.11,0.78,6,281,4,0,1,0,"technical","low"
"1640",0.1,0.93,7,258,4,0,1,0,"technical","low"
"1641",0.42,0.55,2,150,3,0,1,0,"technical","low"
"1642",0.1,0.97,7,282,4,0,1,0,"technical","low"
"1643",0.38,0.51,2,138,3,0,1,0,"technical","low"
"1644",0.77,0.98,4,238,6,0,1,0,"support","low"
"1645",0.11,0.85,7,244,4,0,1,0,"support","low"
"1646",0.87,0.97,5,250,6,0,1,0,"support","low"
"1647",0.1,0.88,7,282,4,0,1,0,"support","low"
"1648",0.1,0.89,7,253,4,0,1,0,"support","low"
"1649",0.09,0.9,6,256,4,0,1,0,"support","low"
"1650",0.84,0.85,5,260,5,0,1,0,"support","low"
"1651",0.11,0.86,6,245,4,0,1,0,"support","low"
"1652",0.81,0.97,5,230,5,0,1,0,"support","low"
"1653",0.77,0.85,5,276,5,0,1,0,"support","medium"
"1654",0.42,0.47,2,137,3,0,1,0,"support","medium"
"1655",0.36,0.56,2,140,3,0,1,0,"technical","medium"
"1656",0.81,0.83,5,269,6,0,1,0,"technical","medium"
"1657",0.37,0.46,2,130,3,1,1,0,"technical","medium"
"1658",0.1,0.96,6,264,4,0,1,0,"management","medium"
"1659",0.14,0.55,6,175,5,0,1,0,"IT","medium"
"1660",0.41,0.51,2,159,3,0,1,0,"IT","medium"
"1661",0.44,0.55,2,128,3,0,1,1,"IT","medium"
"1662",0.82,0.94,5,232,5,1,1,0,"IT","medium"
"1663",0.67,0.54,3,166,5,0,1,0,"IT","medium"
"1664",0.44,0.57,2,141,3,0,1,0,"product_mng","medium"
"1665",0.42,0.54,2,143,3,0,1,0,"product_mng","high"
"1666",0.84,0.83,4,239,5,0,1,0,"product_mng","low"
"1667",0.86,1,4,232,5,0,1,0,"product_mng","medium"
"1668",0.56,0.86,5,252,2,0,1,0,"IT","medium"
"1669",0.09,0.93,6,255,4,0,1,0,"RandD","medium"
"1670",0.1,0.81,7,270,4,0,1,0,"RandD","medium"
"1671",0.39,0.54,2,149,3,0,1,0,"RandD","low"
"1672",0.75,0.89,5,276,5,0,1,0,"RandD","low"
"1673",0.43,0.55,2,159,3,0,1,0,"RandD","low"
"1674",0.09,0.96,7,274,5,0,1,0,"marketing","low"
"1675",0.83,0.94,4,264,5,0,1,0,"sales","low"
"1676",0.59,1,3,156,4,0,1,0,"accounting","low"
"1677",0.44,0.54,2,135,3,0,1,0,"support","low"
"1678",0.38,0.49,2,128,3,0,1,0,"technical","low"
"1679",0.76,0.98,5,242,5,0,1,0,"management","low"
"1680",0.22,0.86,4,293,3,0,1,0,"marketing","low"
"1681",0.4,0.46,2,141,3,0,1,0,"marketing","low"
"1682",0.41,0.48,2,155,3,0,1,0,"marketing","low"
"1683",0.38,0.51,2,141,3,0,1,0,"sales","low"
"1684",0.45,0.68,4,212,4,1,1,0,"sales","low"
"1685",0.39,0.56,2,160,3,0,1,0,"sales","low"
"1686",0.45,0.47,2,150,3,0,1,0,"sales","low"
"1687",0.42,0.53,2,132,3,1,1,0,"sales","low"
"1688",0.1,0.87,6,248,4,0,1,0,"sales","low"
"1689",0.78,0.96,5,272,5,0,1,0,"sales","low"
"1690",0.1,0.87,7,299,4,0,1,0,"sales","low"
"1691",0.1,0.8,6,292,4,0,1,0,"sales","medium"
"1692",0.43,0.46,2,126,3,0,1,0,"sales","medium"
"1693",0.38,0.45,2,132,3,0,1,0,"sales","medium"
"1694",0.09,0.77,6,282,5,0,1,0,"sales","medium"
"1695",0.39,0.53,2,141,3,0,1,0,"sales","medium"
"1696",0.73,0.99,6,206,5,0,1,0,"sales","medium"
"1697",0.38,0.49,2,140,3,0,1,0,"sales","medium"
"1698",0.1,0.91,6,255,4,0,1,0,"sales","medium"
"1699",0.41,0.54,2,133,3,0,1,0,"sales","medium"
"1700",0.43,0.51,2,131,3,0,1,0,"sales","medium"
"1701",0.79,0.96,4,257,5,0,1,0,"accounting","medium"
"1702",0.1,0.81,6,269,4,0,1,0,"accounting","medium"
"1703",0.11,0.97,6,254,4,0,1,0,"accounting","high"
"1704",0.42,0.5,2,143,3,0,1,0,"hr","low"
"1705",0.36,0.51,2,157,3,0,1,0,"hr","medium"
"1706",0.63,0.93,5,163,3,0,1,0,"hr","medium"
"1707",0.41,0.56,2,133,3,0,1,0,"hr","medium"
"1708",0.36,0.46,2,157,3,0,1,0,"technical","medium"
"1709",0.1,0.9,6,301,5,0,1,0,"technical","low"
"1710",0.11,0.96,6,310,4,0,1,0,"technical","low"
"1711",0.44,0.54,2,133,3,0,1,0,"technical","low"
"1712",0.77,0.96,5,249,6,0,1,0,"technical","low"
"1713",0.91,1,4,251,6,0,1,0,"technical","low"
"1714",0.26,0.46,2,242,3,0,1,0,"technical","low"
"1715",0.81,0.93,5,265,6,0,1,0,"technical","low"
"1716",0.11,0.87,6,280,4,0,1,0,"technical","low"
"1717",0.92,0.89,4,241,5,0,1,0,"technical","low"
"1718",0.1,0.86,5,253,4,0,1,0,"technical","low"
